2025-08-10 02:25:16 | RepitBot | INFO     | bot.py:158 | initialize_systems | ✅ Подключение к Telegram API установлено. Бот: @roadtomathbot
2025-08-10 02:25:16 | RepitBot | INFO     | bot.py:127 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-10 02:25:16 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-10 02:25:16 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-10 02:25:16 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-10 02:25:16 | RepitBot.HealthMonitor | INFO     | health_monitor.py:266 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-10 02:25:16 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-10 02:25:16 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-10 02:25:16 | RepitBot | INFO     | bot.py:147 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-10 02:25:21 | RepitBot.HealthMonitor | WARNING  | health_monitor.py:149 | _handle_warning | ⚠️ WARNING: Health check bot_connection failed 1 times
2025-08-10 02:34:25 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-10 02:34:26 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-10 02:34:26 | RepitBot | INFO     | bot.py:171 | main | Database tables created/checked.
2025-08-10 02:34:30 | RepitBot | INFO     | bot.py:367 | main | Запускаем бота...
2025-08-10 02:34:33 | RepitBot | INFO     | bot.py:154 | initialize_systems | ✅ Бот инициализирован
2025-08-10 02:34:34 | RepitBot | INFO     | bot.py:158 | initialize_systems | ✅ Подключение к Telegram API установлено. Бот: @roadtomathbot
2025-08-10 02:34:38 | RepitBot | INFO     | bot.py:127 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-10 02:34:38 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-10 02:34:38 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-10 02:34:38 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-10 02:34:38 | RepitBot.HealthMonitor | INFO     | health_monitor.py:266 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-10 02:34:38 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-10 02:34:38 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-10 02:34:38 | RepitBot | INFO     | bot.py:147 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-10 02:34:41 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:34:45 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:34:47 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:35:01 | RepitBot | INFO     | logger.py:120 | setup_logging | Система логирования инициализирована
2025-08-10 02:35:01 | RepitBot | INFO     | logger.py:120 | setup_logging | Система логирования инициализирована
2025-08-10 02:35:01 | RepitBot | INFO     | bot.py:171 | main | Database tables created/checked.
2025-08-10 02:35:05 | RepitBot | INFO     | bot.py:367 | main | Запускаем бота...
2025-08-10 02:35:08 | RepitBot | INFO     | bot.py:154 | initialize_systems | ✅ Бот инициализирован
2025-08-10 02:35:09 | RepitBot | INFO     | bot.py:158 | initialize_systems | ✅ Подключение к Telegram API установлено. Бот: @roadtomathbot
2025-08-10 02:35:09 | RepitBot | INFO     | bot.py:127 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-10 02:35:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-10 02:35:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-10 02:35:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-10 02:35:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:266 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-10 02:35:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-10 02:35:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-10 02:35:09 | RepitBot | INFO     | bot.py:147 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-10 02:35:12 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:35:18 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
